x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16,x17,x18,x19,x20,x21,x22,x23,x24,x25,x26,x27,y
-11.61,-13.5,3,-0.65,24.69,-0.07,0.026681115,-0.236000082,-0.484492241,-0.678109219,-0.820735622,27.99,46.89,44.21,53.21,30.12,5.78,11.7,11.7,-0.37,12.06,8.17,1.45,3.13,3.13,-2.39,5.52,0
-9.91,-13.5,3,0.57,25.88,0.26,0.026348114,-0.2265078,-0.472648733,-0.672992671,-0.814662408,23.29,44.09,43.71,51.43,29.92,5.4,10.22,10.22,-0.34,10.56,7.61,2.31,-5.19,1.77,-5.19,6.96,0
34.95,-18,3,-0.11,25.3,-0.67,-0.033028299,-0.335665949,-0.503595048,-0.700861273,-0.848642725,41.46,31.1,43.25,48.75,30.05,1.81,-3.15,1.97,-3.15,5.13,1.74,2.34,4.96,4.96,-1.21,6.16,0
18.66,0,3,-1.67,24.76,7.52,0.014524496,-0.324975985,-0.55104707,-0.775773295,-0.909048991,73.58,45.52,50.35,38.26,21.63,1.4,-2.69,1.16,-2.69,3.84,3.07,5.66,9.1,9.1,-0.79,9.89,0
1.89,9,6,-2.57,24.62,4,-0.019606728,-0.336670649,-0.586514212,-0.784136375,-0.916737774,56.95,60.81,50.6,46.43,23.67,1.09,2.63,2.63,-1.2,3.83,8.51,2.19,4.69,4.69,-0.93,5.62,0
-5.7,0,3,-0.72,21.93,1.66,0.026232238,-0.314225423,-0.572211252,-0.768556162,-0.910694235,67.26,60.23,53.52,41.87,22.43,1.45,-2.19,1.72,-2.19,3.92,5.56,6.23,8.92,8.92,-0.72,9.64,0
-57.69,4.5,3,0.38,21.44,-4.34,0.010341647,-0.284817206,-0.578288428,-0.799623227,-0.906454208,46.81,95.83,63.87,54.27,21.26,1.83,3.81,3.81,-1.98,5.79,1.67,7.44,12.96,12.96,0,12.96,0
-40.76,0,3,-0.86,21.42,2.08,0.021742217,-0.303052429,-0.532380083,-0.807220363,-0.939945239,54.01,83.1,59.94,45.43,22,2.75,-5.44,0.83,-5.44,6.27,4.19,4.61,7.06,7.06,0,7.06,0
-53.64,6,0,0.42,23.95,1.42,0.003890072,-0.253009483,-0.513818463,-0.787323398,-0.908263983,42.18,92.53,60.5,51.93,23.1,1.89,-3.56,1.82,-3.56,5.38,7.64,4.93,8.3,8.3,-0.62,8.92,0
-16.28,-1.5,6,-3.15,23.11,-0.03,0.020318837,-0.267056178,-0.538529494,-0.740774204,-0.935389311,37.52,58.92,53.35,45.27,22.84,0.89,-1.67,1.6,-1.67,3.27,5.62,4.9,7.72,7.72,0,7.72,0
4.25,-12,0,0.68,21.13,-1.36,0.004232247,-0.332826244,-0.589608566,-0.797456751,-0.931347883,70.55,57.18,57.29,52.68,22.61,1.26,-2.5,1.34,-2.5,3.84,-1.3,2.39,-5.6,3.2,-5.6,8.8,0
36.74,3,0,-0.26,29.23,-1.84,0.005114053,-0.370103053,-0.627735536,-0.789879964,-0.922517272,96.8,48.68,63.09,50.72,27.26,1.75,-3.37,1.01,-3.37,4.38,-3.52,2.45,4.74,4.74,-4.62,9.36,0
-10.23,0,0,-1.55,14.72,0.22,0.009842404,-0.32690843,-0.590368504,-0.803796356,-0.932548284,70.51,67.74,60.24,53.65,18.84,1.53,3.23,3.23,-2.47,5.7,-0.71,2.38,4.59,4.59,-4.38,8.97,0
30.27,-13.5,0,0.18,19.3,0.01,-0.000403094,-0.358331574,-0.621033841,-0.791542699,-0.928767491,88.79,48.32,61.92,50.78,24.29,1.6,-4.23,0.18,-4.23,4.41,-4.45,2.9,-6.46,1.88,-6.46,8.34,0
39.84,-1.5,0,-1.3,29.73,1.36,0.005041888,-0.364952169,-0.622165136,-0.784674961,-0.922147883,97.52,44.75,62.31,49.76,28.01,2.03,-4.86,0.78,-4.86,5.64,-3.32,1.93,-4.79,0.55,-4.79,5.34,0
10.97,-3,0,-0.52,22.63,-0.15,-0.000919699,-0.344273917,-0.609185492,-0.799658945,-0.927018068,78.69,59.56,63.11,53.39,25.47,1,2.03,2.03,-1.55,3.58,0.58,1.85,-3.98,3.42,-3.98,7.4,0
0.67,-9,0,0.43,20.63,-0.08,0.010615754,-0.339522493,-0.621990353,-0.820965105,-0.947082686,70.88,58.27,59.05,52.51,22.55,1.91,3.79,3.79,-3.7,7.49,-2.02,3.75,6.47,6.47,-1.69,8.16,0
47.54,-16.5,3,-4.18,21.86,-3.05,0.010487066,-0.408490639,-0.585391906,-0.788083586,-0.908393537,98.93,36.33,60.36,50.4,32.17,1.67,-6.82,1.47,-6.82,8.29,-1.9,1.29,2.68,2.68,-1.77,4.44,0
40.44,-21,3,-1.81,21.69,-2.08,0.010940962,-0.379902056,-0.598837887,-0.790955731,-0.914920906,98.27,40.92,63.46,52.66,22.01,2.26,-6.92,0.4,-6.92,7.32,-3.89,2.86,5.9,5.9,-0.61,6.51,0
30.59,4.5,3,-2.41,18.83,-1.28,0.016316143,-0.368070079,-0.586730064,-0.794223257,-0.911040524,92.86,43.13,61.99,50.86,20.53,4,10.12,10.12,-4.34,14.45,4.21,4.27,-8.6,0.82,-8.6,9.42,0
34.25,-2.82,0,-1.48,18.6,3.55,0.016324937,-0.369693419,-0.622026948,-0.793595001,-0.921792619,95.21,44.11,62.4,51.67,24.53,2.18,7.24,7.24,-0.32,7.56,0.88,2.11,4.51,4.51,-3.56,8.07,0
